date,Q1_turnover,Q5_turnover,avg_turnover
2022-05-31,1.0,1.0,1.0
2022-06-30,0.24561403508771928,0.2931034482758621,0.4464858290122523
2022-07-31,0.18181818181818177,0.27826086956521734,0.3841381160410909
2022-08-31,0.14814814814814814,0.24778761061946908,0.3155871517535235
2022-09-30,0.1651376146788991,0.21621621621621623,0.3596949755574309
2022-10-31,0.18181818181818177,0.3076923076923077,0.38248433146578964
2022-11-30,0.7341772151898734,0.7926829268292683,0.8314150842239846
2022-12-31,0.5915492957746479,0.4651162790697675,0.6624676244298897
2023-01-31,0.6206896551724138,0.3770491803278688,0.6408294190282708
2023-02-28,0.9795918367346939,0.935483870967742,0.9288554752349356
2023-03-31,0.6111111111111112,0.5547445255474452,0.7165283166615746
2023-04-30,0.33333333333333337,0.3770491803278688,0.44204206549410696
2023-05-31,0.19819819819819817,0.2321428571428571,0.40290099069168833
2023-06-30,0.24561403508771928,0.27826086956521734,0.43267123999843615
2023-07-31,0.4496124031007752,0.3902439024390244,0.5721924090265869
2023-08-31,0.33333333333333337,0.24778761061946908,0.4506722423193872
2023-09-30,0.30508474576271183,0.27826086956521734,0.43229101361284955
2023-10-31,0.5507246376811594,0.41600000000000004,0.6424114343830591
2023-11-30,0.33333333333333337,0.27826086956521734,0.45920133458450624
2023-12-31,0.5611510791366907,0.5441176470588236,0.684570993912117
2024-01-31,0.5507246376811594,0.5333333333333333,0.6994035861534309
2024-02-29,0.6111111111111112,0.6153846153846154,0.7308208885131962
2024-03-31,0.30508474576271183,0.1834862385321101,0.3929930917706622
2024-04-30,0.31932773109243695,0.2321428571428571,0.4344167644174375
2024-05-31,0.26086956521739135,0.1834862385321101,0.3531645778541764
2024-06-30,0.3870967741935484,0.27826086956521734,0.463792868382496
2024-07-31,0.26086956521739135,0.19999999999999996,0.3709114545717175
2024-08-31,0.5714285714285714,0.5,0.6771039769030329
2024-09-30,0.27586206896551724,0.27826086956521734,0.4218678447036023
2024-10-31,0.5611510791366907,0.5755395683453237,0.6922607736595534
2024-11-30,0.3870967741935484,0.19999999999999996,0.4500483587089425
2024-12-31,0.31932773109243695,0.24778761061946908,0.46060664768431525
2025-01-31,0.5915492957746479,0.5,0.6995070920183952
2025-02-28,0.5074626865671642,0.4285714285714286,0.6475513761112603
2025-03-31,0.48484848484848486,0.5333333333333333,0.686372051733071
2025-04-30,0.24561403508771928,0.21621621621621623,0.4425638207681096
2025-05-31,0.26086956521739135,0.1834862385321101,0.42289698893631245
2025-06-30,0.5185185185185186,0.5547445255474452,0.6930304640203163
2025-07-31,0.3870967741935484,0.2321428571428571,0.5088994338122523
2025-08-31,0.4,0.27826086956521734,0.5162644188110027
2025-09-30,0.5185185185185186,0.5755395683453237,0.65864193411485
2025-10-31,0.5185185185185186,0.5547445255474452,0.6749233094501355
2025-11-30,0.31932773109243695,0.26315789473684215,0.465661004764518
2025-12-31,0.3870967741935484,0.453125,0.565121683366141
2026-01-31,0.23008849557522126,0.27826086956521734,0.37826672060460936
2026-02-28,0.24561403508771928,0.36363636363636365,0.47682745531042753
2026-03-31,0.3870967741935484,0.3770491803278688,0.5407465467986288
2026-04-30,0.360655737704918,0.33613445378151263,0.5045242077276615
